rank,stock_code,short_name,price,change,change_pct
1,688795,N摩尔-U,600.5,2554.8873,425.46
2,000547,航天发展,20.57,2.057,10.0
3,002682,龙洲股份,7.88,0.792728,10.06
4,000078,海王生物,5.29,0.527942,9.98
5,300377,赢时胜,18.84,3.7680000000000002,20.0
6,600734,实达集团,6.09,0.604737,9.93
7,002565,顺灏股份,11.9,1.1876200000000001,9.98
8,600151,航天机电,13.65,1.3636350000000002,9.99
9,603122,合富中国,26.53,2.6503470000000005,9.99
10,600343,航天动力,28.22,2.827644,10.02
11,000592,平潭发展,11.87,0.8237779999999999,6.94
12,000901,航天科技,21.23,2.123,10.0
13,601399,国机重装,4.63,0.462074,9.98
14,002702,海欣食品,9.55,0.95691,10.02
15,600105,永鼎股份,17.12,1.7171359999999998,10.03
16,002402,和而泰,48.08,-4.808,-10.0
17,300059,东方财富,23.31,0.958041,4.11
18,600366,宁波韵升,14.04,1.4082119999999998,10.03
19,002300,太阳电缆,10.36,1.033928,9.98
20,002589,瑞康医药,4.26,0.42940799999999996,10.08
21,002413,雷科防务,8.79,0.51861,5.9
22,002585,双星新材,6.93,0.693,10.0
23,000070,特发信息,14.38,1.440876,10.02
24,300102,乾照光电,23.88,3.3264839999999998,13.93
25,603696,安记食品,19.47,1.9469999999999998,10.0
26,000632,三木集团,7.57,0.7592709999999999,10.03
27,300427,红相股份,10.56,2.112,20.0
28,600973,宝胜股份,5.89,0.594301,10.09
29,600800,渤海化学,5.05,0.50601,10.02
30,002149,西部材料,20.52,2.058156,10.03
31,601696,中银证券,13.94,1.396788,10.02
32,301005,超捷股份,69.61,13.922,20.0
33,000859,国风新材,9.13,0.9130000000000001,10.0
34,002093,国脉科技,13.1,1.30869,9.99
35,600118,中国卫星,48.31,2.458979,5.09
36,600693,东百集团,10.19,1.0230759999999999,10.04
37,600868,梅雁吉祥,3.81,0.38557199999999997,10.12
38,605299,舒华体育,12.95,1.2988849999999998,10.03
39,600981,苏豪汇鸿,3.71,0.37433900000000003,10.09
40,603386,骏亚科技,16.65,1.660005,9.97
41,000905,厦门港务,12.0,1.1987999999999999,9.99
42,002578,闽发铝业,4.96,0.49500800000000006,9.98
43,300762,上海瀚讯,33.62,2.948473999999999,8.77
44,600879,航天电子,12.69,0.445419,3.51
45,002228,合兴包装,4.72,0.472944,10.02
46,002792,通宇通讯,29.47,1.393931,4.73
47,002977,天箭科技,40.37,4.037,10.0
48,002083,孚日股份,10.24,1.022976,9.99
49,301526,国际复材,7.25,1.452175,20.03
50,002512,达华智能,6.48,0.15357600000000002,2.37
51,002050,三花智控,45.1,0.31119,0.69
52,002961,瑞达期货,26.71,2.673671,10.01
53,300421,力星股份,28.78,5.761756,20.02
54,600519,贵州茅台,1430.01,6.006042,0.42
55,300062,中能电气,9.28,1.1841279999999998,12.76
56,300456,赛微电子,48.18,1.474308,3.06
57,002639,雪人集团,15.37,0.591745,3.85
58,601106,中国一重,3.42,0.340974,9.97
59,600227,赤天化,2.83,0.286396,10.12
60,002031,巨轮智能,8.04,0.24763199999999996,3.08
61,600362,江西铜业,43.32,2.330616,5.38
62,600984,建设机械,4.59,0.462213,10.07
63,002752,昇兴股份,7.19,0.7146859999999999,9.94
64,300748,金力永磁,36.44,2.9407080000000003,8.07
65,002218,拓日新能,4.22,0.41778,9.9
66,300053,航宇微,17.46,1.0493460000000001,6.01
67,000639,西王食品,3.76,0.37374399999999997,9.94
68,000811,冰轮环境,14.73,1.4744730000000001,10.01
69,605598,上海港湾,47.17,4.7170000000000005,10.0
70,601318,中国平安,61.99,3.645012,5.88
71,000725,京东方Ａ,4.26,0.221094,5.19
72,601899,紫金矿业,31.32,0.6420599999999999,2.05
73,600592,龙溪股份,28.18,0.822856,2.92
74,688048,长光华芯,128.82,25.763999999999996,20.0
75,301136,招标股份,26.87,1.985693,7.39
76,002295,精艺股份,12.39,1.243956,10.04
77,600635,大众公用,7.42,-0.721966,-9.73
78,002660,茂硕电源,10.35,1.033965,9.99
79,002679,福建金森,14.6,1.46292,10.02
80,000035,中国天楹,6.13,0.6160650000000001,10.05
81,000970,中科三环,13.49,0.975327,7.23
82,603015,弘讯科技,12.18,1.221654,10.03
83,600103,青山纸业,4.24,0.20988000000000004,4.95
84,300300,海峡创新,17.78,1.6499840000000001,9.28
85,000002,万  科Ａ,4.95,-0.0198,-0.4
86,603709,中源家居,18.23,1.826646,10.02
87,002830,名雕股份,22.66,2.266,10.0
88,603886,元祖股份,13.99,1.3962020000000002,9.98
89,600721,百花医药,10.77,1.078077,10.01
90,002969,嘉美包装,4.32,0.42854400000000004,9.92
91,001280,C中国铀,65.89,-3.4131020000000003,-5.18
92,603327,福蓉科技,12.75,-0.867,-6.8
93,301486,致尚科技,91.85,18.37,20.0
94,600218,全柴动力,11.2,1.12224,10.02
95,603778,国晟科技,12.88,0.607936,4.72
96,603933,睿能科技,29.61,0.926793,3.13
97,600650,锦江在线,15.68,1.5742719999999997,10.04
98,000536,华映科技,6.02,0.040334,0.67
99,300115,长盈精密,43.31,3.3262080000000003,7.68
100,000063,中兴通讯,41.95,-0.94807,-2.26
